adjectives
abrasive
unfortunately
abrupt
abusive
afraid
aloof
ambiguous
angry
annoyed
anxious
arrogant
ashamed
awful
bad
belligerent
bewildered
boorish
bored
boring
callous
careless
clumsy
combative
confused
cowardly
crazy
creepy
cruel
cynical
dangerous
deceitful
defeated
defective
defiant
demonic
depressed
deranged
disagreeable
disillusioned
disturbed
disappointed
domineering
draconian
embarrassed
envious
erratic
evasive
evil
faded
fanatical
fierce
filthy
finicky
flashy
flippant
foolish
forgetful
frantic
fretful
frightened
furtive
greedy
grieving
grouchy
gruesome
grumpy
guarded
gullible
helpless
hesitant
homeless
horrible
hungry
hurt
ignorant
ill
irresolute
jealous
jittery
lacking
lazy
lonely
malicious
materialistic
mean
mysterious
naive
nasty
naughty
nervous
noisy
obnoxious
outrageous
panicky
pathetic
possessive
quarrelsome
repulsive
ruthless
uncomfortable
sad
scary
secretive
selfish
silly
slow
sneaky
snobbish
sore
spendthrift
squeamish
stingy
strange
sulky
tacky
tense
terrible
testy
thick-skinned
thoughtless
threatening
tight
timid
tired
tiresome
troubled
truculent
typical
undesirable
unsuitable
unsure
upset
uptight
vague
vengeful
venomous
volatile
voracious
vulgar
wary
wasteful
weak
weary
wicked
worried
worthless
wretched
angry
annoyed
anxious
arrogant
ashamed
awful
bad
bewildered
black
blue
bored
clumsy
combative
condemned
confused
crazy,
flipped-out
creepy
cruel
dangerous
defeated
defiant
depressed
disgusted
disturbed
dizzy
dull
embarrassed
envious
evil
fierce
foolish
frantic
frightened
grieving
grumpy
helpless
homeless
hungry
hurt
ill
itchy
jealous
jittery
lazy
lonely
mysterious
nasty
naughty
nervous
nutty
obnoxious
outrageous
panicky
repulsive
scary
selfish
sore
tense
terrible
testy
thoughtless
tired
troubled
upset
uptight
weary
wicked
worried 
