adjectives
bien
excelente
gracias
grateful
impecable
maravillosa
inmejorable
phenomenal
placentera
amable
adaptable
adorable
agreeable
acogedor
bonito
perfecto
alluring
ambitious
amused
boundless
brave
bright
calm
capable
charming
cheerful
coherent
comfortable
confident
cooperative
courageous
credible
cultured
dashing
dazzling
debonair
decisive
decorous
delightful
detailed
determined
diligent
discreet
dynamic
eager
endurable
efficient
elated
eminent
enchanting
encouraging
energetic
entertaining
enthusiastic
excellent
excited
exclusive
exuberant
fabulous
fair
faithful
fantastic
fearless
fine
frank
friendly
funny
generous
gentle
glorious
good
happy
harmonious
helpful
hilarious
honorable
impartial
industrious
instinctive
jolly
joyous
lucky
kind
kind-hearted
knowledgeable
level
likeable
lively
lovely
loving
mature
modern
nice
obedient
painstaking
peaceful
perfect
placid
plausible
pleasant
plucky
productive
protective
proud
punctual
quiet
receptive
reflective
relieved
resolute
responsible
rhetorical
righteous
romantic
sedate
seemly
selective
self-assured
sensitive
shrewd
silly
sincere
skilful
successful
smiling
splendid
steadfast
stimulating
succinct
talented
thoughtful
thrifty
tough
trustworthy
unbiased
unusual
upbeat
vigorous
vivacious
warm
willing
wise
witty
wonderful
zany
zealous
agreeable
amused
brave
calm
charming
cheerful
comfortable
cooperative
courageous
delightful
determined
eager
elated
enchanting
encouraging
energetic
enthusiastic
excited
exuberant
fair
faithful
fantastic
fine
friendly
funny
gentle
glorious
good
happy
healthy
helpful
hilarious
jolly
joyous
kind
lively
lovely
lucky
nice
obedient
perfect
pleasant
proud
relieved
silly
smiling
splendid
successful
thankful
thoughtful
victorious
vivacious
witty
wonderful
zealous
zany  
